A Sharp (.NET)		
A-0 System		
Ada (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/ALGOL_68"" title=""ALGOL 68"">ALGOL 68</a>, <a href=""/wiki/Pascal_(programming_language)"" title=""Pascal (programming language)"">Pascal</a>, <a class=""mw-redirect"" href=""/wiki/Simula_67"" title=""Simula 67"">Simula 67</a>,<sup class=""reference"" id=""cite_ref-8""><a href=""#cite_note-8"">[8]</a></sup> <a href=""/wiki/C%2B%2B"" title=""C++"">C++</a> (Ada 95), <a href=""/wiki/Smalltalk"" title=""Smalltalk"">Smalltalk</a> (Ada 95), <a href=""/wiki/Modula-2"" title=""Modula-2"">Modula-2</a> (Ada 95) <a href=""/wiki/Java_(programming_language)"" title=""Java (programming language)"">Java</a> (Ada 2005), <a href=""/wiki/Eiffel_(programming_language)"" title=""Eiffel (programming language)"">Eiffel</a> (Ada 2012)</td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/C%2B%2B"" title=""C++"">C++</a>, <a href=""/wiki/Chapel_(programming_language)"" title=""Chapel (programming language)"">Chapel</a>,<sup class=""reference"" id=""cite_ref-chplspec_9-0""><a href=""#cite_note-chplspec-9"">[9]</a></sup> <a class=""new"" href=""/w/index.php?title=Drago_(programming_language)&amp;action=edit&amp;redlink=1"" title=""Drago (programming language) (page does not exist)"">Drago</a>,<sup class=""reference"" id=""cite_ref-10""><a href=""#cite_note-10"">[10]</a></sup> <a href=""/wiki/D_(programming_language)"" title=""D (programming language)"">D</a>, <a href=""/wiki/Eiffel_(programming_language)"" title=""Eiffel (programming language)"">Eiffel</a>, Griffin,<sup class=""reference"" id=""cite_ref-11""><a href=""#cite_note-11"">[11]</a></sup> <a href=""/wiki/Java_(programming_language)"" title=""Java (programming language)"">Java</a>, <a href=""/wiki/Nim_(programming_language)"" title=""Nim (programming language)"">Nim</a>, <a href=""/wiki/ParaSail_(programming_language)"" title=""ParaSail (programming language)"">ParaSail</a>, <a href=""/wiki/PL/SQL"" title=""PL/SQL"">PL/SQL</a>, <a href=""/wiki/PL/pgSQL"" title=""PL/pgSQL"">PL/pgSQL</a>, <a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a>, <a href=""/wiki/Ruby_(programming_language)"" title=""Ruby (programming language)"">Ruby</a>, <a href=""/wiki/Seed7"" title=""Seed7"">Seed7</a>, SPARforte,<sup class=""reference"" id=""cite_ref-12""><a href=""#cite_note-12"">[12]</a></sup> <a href=""/wiki/ParaSail_(programming_language)#Description"" title=""ParaSail (programming language)"">Sparkel</a>, <a href=""/wiki/SQL/PSM"" title=""SQL/PSM"">SQL/PSM</a>, <a href=""/wiki/VHDL"" title=""VHDL"">VHDL</a></td></tr>, <tr><td class=""infobox-below hlist"" colspan=""2"" style=""border-top: 1px solid #aaa; padding-top: 3px;"">
<ul><li><a class=""image"" href=""/wiki/File:Wikibooks-logo-en-noslogan.svg""><img alt="""" class=""noviewer"" data-file-height=""400"" data-file-width=""400"" decoding=""async"" height=""16"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/16px-Wikibooks-logo-en-noslogan.svg.png"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/24px-Wikibooks-logo-en-noslogan.svg.png 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/32px-Wikibooks-logo-en-noslogan.svg.png 2x"" width=""16""/></a> <a class=""extiw"" href=""https://en.wikibooks.org/wiki/Ada_Programming"" title=""wikibooks:Ada Programming"">Ada Programming</a> at Wikibooks</li></ul>
</td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/C%2B%2B"" title=""C++"">C++</a>, <a href=""/wiki/Chapel_(programming_language)"" title=""Chapel (programming language)"">Chapel</a>,<sup class=""reference"" id=""cite_ref-chplspec_9-0""><a href=""#cite_note-chplspec-9"">[9]</a></sup> <a class=""new"" href=""/w/index.php?title=Drago_(programming_language)&amp;action=edit&amp;redlink=1"" title=""Drago (programming language) (page does not exist)"">Drago</a>,<sup class=""reference"" id=""cite_ref-10""><a href=""#cite_note-10"">[10]</a></sup> <a href=""/wiki/D_(programming_language)"" title=""D (programming language)"">D</a>, <a href=""/wiki/Eiffel_(programming_language)"" title=""Eiffel (programming language)"">Eiffel</a>, Griffin,<sup class=""reference"" id=""cite_ref-11""><a href=""#cite_note-11"">[11]</a></sup> <a href=""/wiki/Java_(programming_language)"" title=""Java (programming language)"">Java</a>, <a href=""/wiki/Nim_(programming_language)"" title=""Nim (programming language)"">Nim</a>, <a href=""/wiki/ParaSail_(programming_language)"" title=""ParaSail (programming language)"">ParaSail</a>, <a href=""/wiki/PL/SQL"" title=""PL/SQL"">PL/SQL</a>, <a href=""/wiki/PL/pgSQL"" title=""PL/pgSQL"">PL/pgSQL</a>, <a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a>, <a href=""/wiki/Ruby_(programming_language)"" title=""Ruby (programming language)"">Ruby</a>, <a href=""/wiki/Seed7"" title=""Seed7"">Seed7</a>, SPARforte,<sup class=""reference"" id=""cite_ref-12""><a href=""#cite_note-12"">[12]</a></sup> <a href=""/wiki/ParaSail_(programming_language)#Description"" title=""ParaSail (programming language)"">Sparkel</a>, <a href=""/wiki/SQL/PSM"" title=""SQL/PSM"">SQL/PSM</a>, <a href=""/wiki/VHDL"" title=""VHDL"">VHDL</a></td></tr>, <tr><td class=""infobox-below hlist"" colspan=""2"" style=""border-top: 1px solid #aaa; padding-top: 3px;"">
<ul><li><a class=""image"" href=""/wiki/File:Wikibooks-logo-en-noslogan.svg""><img alt="""" class=""noviewer"" data-file-height=""400"" data-file-width=""400"" decoding=""async"" height=""16"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/16px-Wikibooks-logo-en-noslogan.svg.png"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/24px-Wikibooks-logo-en-noslogan.svg.png 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikibooks-logo-en-noslogan.svg/32px-Wikibooks-logo-en-noslogan.svg.png 2x"" width=""16""/></a> <a class=""extiw"" href=""https://en.wikibooks.org/wiki/Ada_Programming"" title=""wikibooks:Ada Programming"">Ada Programming</a> at Wikibooks</li></ul>
</td></tr>]"
ISO/IEC 8652		
Haystack (MIT project)		
AdvPL	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/XBase"" title=""XBase"">xBase</a><sup class=""reference"" id=""cite_ref-whatisadvpl_1-1""><a href=""#cite_note-whatisadvpl-1"">[1]</a></sup></td></tr>]"	
Agda (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Coq"" title=""Coq"">Coq</a>, <a href=""/wiki/Epigram_(programming_language)"" title=""Epigram (programming language)"">Epigram</a>, <a class=""mw-redirect"" href=""/wiki/Haskell_(programming_language)"" title=""Haskell (programming language)"">Haskell</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Idris_(programming_language)"" title=""Idris (programming language)"">Idris</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Idris_(programming_language)"" title=""Idris (programming language)"">Idris</a></td></tr>]"
Keysight VEE		
Agora (programming language)		
AIMMS		
Aldor	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/A%E2%99%AF_(Axiom)"" title=""A♯ (Axiom)"">A#</a>, <a href=""/wiki/Pascal_(programming_language)"" title=""Pascal (programming language)"">Pascal</a>, <a class=""mw-redirect"" href=""/wiki/Haskell_(programming_language)"" title=""Haskell (programming language)"">Haskell</a></td></tr>]"	
Alef (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/C_(programming_language)"" title=""C (programming language)"">C</a>, <a href=""/wiki/Newsqueak"" title=""Newsqueak"">Newsqueak</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Limbo_(programming_language)"" title=""Limbo (programming language)"">Limbo</a>, <a href=""/wiki/Rust_(programming_language)"" title=""Rust (programming language)"">Rust</a>, <a href=""/wiki/Go_(programming_language)"" title=""Go (programming language)"">Go</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Limbo_(programming_language)"" title=""Limbo (programming language)"">Limbo</a>, <a href=""/wiki/Rust_(programming_language)"" title=""Rust (programming language)"">Rust</a>, <a href=""/wiki/Go_(programming_language)"" title=""Go (programming language)"">Go</a></td></tr>]"
Algebraic Logic Functional programming language		
ALGOL 58	"[<tr><td class=""infobox-full-data"" colspan=""2""><a class=""mw-redirect"" href=""/wiki/FORTRAN"" title=""FORTRAN"">FORTRAN</a>, IT, <a href=""/wiki/Plankalk%C3%BCl"" title=""Plankalkül"">Plankalkül</a>,<sup class=""reference"" id=""cite_ref-1""><a href=""#cite_note-1"">[1]</a></sup> <a href=""/wiki/Superplan"" title=""Superplan"">Superplan</a>, Sequentielle Formelübersetzung</td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2"">Most subsequent imperative languages (<i><a class=""mw-redirect"" href=""/wiki/Algol-like"" title=""Algol-like"">Algol-like</a></i>)</td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2"">Most subsequent imperative languages (<i><a class=""mw-redirect"" href=""/wiki/Algol-like"" title=""Algol-like"">Algol-like</a></i>)</td></tr>]"
ALGOL 60	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/ALGOL_58"" title=""ALGOL 58"">ALGOL 58</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2"">Most subsequent imperative languages (so-called <i>ALGOL-like</i> languages), e.g. <a href=""/wiki/Simula"" title=""Simula"">Simula</a>, <a class=""mw-redirect"" href=""/wiki/Combined_Programming_Language"" title=""Combined Programming Language"">CPL</a>, <a href=""/wiki/Pascal_(programming_language)"" title=""Pascal (programming language)"">Pascal</a>, <a href=""/wiki/Ada_(programming_language)"" title=""Ada (programming language)"">Ada</a>, <a href=""/wiki/C_(programming_language)"" title=""C (programming language)"">C</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2"">Most subsequent imperative languages (so-called <i>ALGOL-like</i> languages), e.g. <a href=""/wiki/Simula"" title=""Simula"">Simula</a>, <a class=""mw-redirect"" href=""/wiki/Combined_Programming_Language"" title=""Combined Programming Language"">CPL</a>, <a href=""/wiki/Pascal_(programming_language)"" title=""Pascal (programming language)"">Pascal</a>, <a href=""/wiki/Ada_(programming_language)"" title=""Ada (programming language)"">Ada</a>, <a href=""/wiki/C_(programming_language)"" title=""C (programming language)"">C</a></td></tr>]"
ALGOL 68	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/ALGOL_60"" title=""ALGOL 60"">ALGOL 60</a>, <a href=""/wiki/ALGOL_Y"" title=""ALGOL Y"">ALGOL Y</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/C_(programming_language)"" title=""C (programming language)"">C</a>,<sup class=""reference"" id=""cite_ref-3""><a href=""#cite_note-3"">[3]</a></sup><sup class=""reference"" id=""cite_ref-5""><a href=""#cite_note-5"">[5]</a></sup> <a href=""/wiki/C%2B%2B"" title=""C++"">C++</a>,<sup class=""reference"" id=""cite_ref-a68-c++_6-0""><a href=""#cite_note-a68-c++-6"">[6]</a></sup> <a href=""/wiki/Bourne_shell"" title=""Bourne shell"">Bourne shell</a>, <a href=""/wiki/KornShell"" title=""KornShell"">KornShell</a>, <a href=""/wiki/Bash_(Unix_shell)"" title=""Bash (Unix shell)"">Bash</a>, <a href=""/wiki/Steelman_language_requirements"" title=""Steelman language requirements"">Steelman</a>, <a href=""/wiki/Ada_(programming_language)"" title=""Ada (programming language)"">Ada</a>, <a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a>,<sup class=""reference"" id=""cite_ref-a68-python_7-0""><a href=""#cite_note-a68-python-7"">[7]</a></sup> <a href=""/wiki/Seed7"" title=""Seed7"">Seed7</a>, <a href=""/wiki/Mary_(programming_language)"" title=""Mary (programming language)"">Mary</a>, <a href=""/wiki/S3_(programming_language)"" title=""S3 (programming language)"">S3</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/C_(programming_language)"" title=""C (programming language)"">C</a>,<sup class=""reference"" id=""cite_ref-3""><a href=""#cite_note-3"">[3]</a></sup><sup class=""reference"" id=""cite_ref-5""><a href=""#cite_note-5"">[5]</a></sup> <a href=""/wiki/C%2B%2B"" title=""C++"">C++</a>,<sup class=""reference"" id=""cite_ref-a68-c++_6-0""><a href=""#cite_note-a68-c++-6"">[6]</a></sup> <a href=""/wiki/Bourne_shell"" title=""Bourne shell"">Bourne shell</a>, <a href=""/wiki/KornShell"" title=""KornShell"">KornShell</a>, <a href=""/wiki/Bash_(Unix_shell)"" title=""Bash (Unix shell)"">Bash</a>, <a href=""/wiki/Steelman_language_requirements"" title=""Steelman language requirements"">Steelman</a>, <a href=""/wiki/Ada_(programming_language)"" title=""Ada (programming language)"">Ada</a>, <a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a>,<sup class=""reference"" id=""cite_ref-a68-python_7-0""><a href=""#cite_note-a68-python-7"">[7]</a></sup> <a href=""/wiki/Seed7"" title=""Seed7"">Seed7</a>, <a href=""/wiki/Mary_(programming_language)"" title=""Mary (programming language)"">Mary</a>, <a href=""/wiki/S3_(programming_language)"" title=""S3 (programming language)"">S3</a></td></tr>]"
ALGOL W	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/ALGOL_60"" title=""ALGOL 60"">ALGOL 60</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Pascal_(programming_language)"" title=""Pascal (programming language)"">Pascal</a>, <a href=""/wiki/Modula-2"" title=""Modula-2"">Modula-2</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Pascal_(programming_language)"" title=""Pascal (programming language)"">Pascal</a>, <a href=""/wiki/Modula-2"" title=""Modula-2"">Modula-2</a></td></tr>]"
Alice (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/ML_(programming_language)"" title=""ML (programming language)"">ML</a>, <a href=""/wiki/Oz_(programming_language)"" title=""Oz (programming language)"">Oz</a></td></tr>]"	
Alma-0	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Modula-2"" title=""Modula-2"">Modula-2</a></td></tr>]"	
AmbientTalk	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Smalltalk"" title=""Smalltalk"">Smalltalk</a>, <a href=""/wiki/Self_(programming_language)"" title=""Self (programming language)"">Self</a>, <a href=""/wiki/Scheme_(programming_language)"" title=""Scheme (programming language)"">Scheme</a>, <a href=""/wiki/E_(programming_language)"" title=""E (programming language)"">E</a>, <a href=""/wiki/Actor-Based_Concurrent_Language"" title=""Actor-Based Concurrent Language"">ABCL</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a class=""mw-redirect"" href=""/wiki/ECMAScript_Harmony"" title=""ECMAScript Harmony"">ECMAScript Harmony</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a class=""mw-redirect"" href=""/wiki/ECMAScript_Harmony"" title=""ECMAScript Harmony"">ECMAScript Harmony</a></td></tr>]"
Amiga E		
AMOS (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/STOS_BASIC"" title=""STOS BASIC"">STOS BASIC</a></td></tr>]"	
AMPL	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/AWK"" title=""AWK"">AWK</a>, <a href=""/wiki/C_(programming_language)"" title=""C (programming language)"">C</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Pyomo"" title=""Pyomo"">Pyomo</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Pyomo"" title=""Pyomo"">Pyomo</a></td></tr>]"
Аналитик	"[<tr><td class=""infobox-full-data"" colspan=""2""><a class=""new"" href=""/w/index.php?title=%D0%90%D0%9B%D0%9C%D0%98%D0%A0-65&amp;action=edit&amp;redlink=1"" title=""АЛМИР-65 (page does not exist)"">ALMIR-65</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a class=""new"" href=""/w/index.php?title=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-74&amp;action=edit&amp;redlink=1"" title=""Аналитик-74 (page does not exist)"">Analitik-74</a>, <a class=""new"" href=""/w/index.php?title=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-2007&amp;action=edit&amp;redlink=1"" title=""Аналитик-2007 (page does not exist)"">Analitik-2007</a>, <a class=""new"" href=""/w/index.php?title=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-2010&amp;action=edit&amp;redlink=1"" title=""Аналитик-2010 (page does not exist)"">Analitik-2010</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a class=""new"" href=""/w/index.php?title=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-74&amp;action=edit&amp;redlink=1"" title=""Аналитик-74 (page does not exist)"">Analitik-74</a>, <a class=""new"" href=""/w/index.php?title=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-2007&amp;action=edit&amp;redlink=1"" title=""Аналитик-2007 (page does not exist)"">Analitik-2007</a>, <a class=""new"" href=""/w/index.php?title=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA-2010&amp;action=edit&amp;redlink=1"" title=""Аналитик-2010 (page does not exist)"">Analitik-2010</a></td></tr>]"
AngelScript	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/C%2B%2B"" title=""C++"">C++</a></td></tr>]"	
Apache Pig		
Salesforce		
APL (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Mathematical_notation"" title=""Mathematical notation"">Mathematical notation</a></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><div class=""hlist hlist-separated"">
<ul><li><a href=""/wiki/A%2B_(programming_language)"" title=""A+ (programming language)"">A and A+</a></li>
<li><a href=""/wiki/C%2B%2B"" title=""C++"">C++</a><sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2"">[2]</a></sup></li>
<li><a href=""/wiki/FP_(programming_language)"" title=""FP (programming language)"">FP</a></li>
<li><a href=""/wiki/J_(programming_language)"" title=""J (programming language)"">J</a></li>
<li><a href=""/wiki/K_(programming_language)"" title=""K (programming language)"">K</a></li>
<li><a href=""/wiki/MATLAB"" title=""MATLAB"">MATLAB</a></li>
<li><a href=""/wiki/Nial"" title=""Nial"">Nial</a></li>
<li><a href=""/wiki/Polymorphic_Programming_Language"" title=""Polymorphic Programming Language"">PPL</a></li>
<li><a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a></li>
<li><a href=""/wiki/Q_(programming_language_from_Kx_Systems)"" title=""Q (programming language from Kx Systems)"">q (kdb)</a></li>
<li><a href=""/wiki/S_(programming_language)"" title=""S (programming language)"">S</a></li>
<li><a href=""/wiki/Speakeasy_(computational_environment)"" title=""Speakeasy (computational environment)"">Speakeasy</a></li>
<li><a href=""/wiki/Wolfram_Language"" title=""Wolfram Language"">Wolfram Language</a></li></ul>
</div></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><div class=""hlist hlist-separated"">
<ul><li><a href=""/wiki/A%2B_(programming_language)"" title=""A+ (programming language)"">A and A+</a></li>
<li><a href=""/wiki/C%2B%2B"" title=""C++"">C++</a><sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2"">[2]</a></sup></li>
<li><a href=""/wiki/FP_(programming_language)"" title=""FP (programming language)"">FP</a></li>
<li><a href=""/wiki/J_(programming_language)"" title=""J (programming language)"">J</a></li>
<li><a href=""/wiki/K_(programming_language)"" title=""K (programming language)"">K</a></li>
<li><a href=""/wiki/MATLAB"" title=""MATLAB"">MATLAB</a></li>
<li><a href=""/wiki/Nial"" title=""Nial"">Nial</a></li>
<li><a href=""/wiki/Polymorphic_Programming_Language"" title=""Polymorphic Programming Language"">PPL</a></li>
<li><a href=""/wiki/Python_(programming_language)"" title=""Python (programming language)"">Python</a></li>
<li><a href=""/wiki/Q_(programming_language_from_Kx_Systems)"" title=""Q (programming language from Kx Systems)"">q (kdb)</a></li>
<li><a href=""/wiki/S_(programming_language)"" title=""S (programming language)"">S</a></li>
<li><a href=""/wiki/Speakeasy_(computational_environment)"" title=""Speakeasy (computational environment)"">Speakeasy</a></li>
<li><a href=""/wiki/Wolfram_Language"" title=""Wolfram Language"">Wolfram Language</a></li></ul>
</div></td></tr>]"
App Inventor for Android		
AppleScript	"[<tr><td class=""infobox-full-data"" colspan=""2""><a class=""mw-redirect"" href=""/wiki/Natural_language_programming"" title=""Natural language programming"">Natural language</a>, <a href=""/wiki/HyperTalk"" title=""HyperTalk"">HyperTalk</a></td></tr>]"	
APT (programming language)		"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Computer-aided_manufacturing"" title=""Computer-aided manufacturing"">Computer-aided manufacturing</a> systems</td></tr>]"
Arc (programming language)	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Lisp_(programming_language)"" title=""Lisp (programming language)"">Lisp</a>, <a href=""/wiki/Scheme_(programming_language)"" title=""Scheme (programming language)"">Scheme</a></td></tr>]"	
ARexx		
Argus (programming language)		
Assembly language		
AutoHotkey		
AutoIt	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/BASIC"" title=""BASIC"">BASIC</a></td></tr>]"	
AutoLISP	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Lisp_(programming_language)"" title=""Lisp (programming language)"">Lisp</a>, XLISP</td></tr>]"	
Averest		
AWK	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/C_(programming_language)"" title=""C (programming language)"">C</a>, <a href=""/wiki/Sed"" title=""Sed"">sed</a>, <a href=""/wiki/SNOBOL"" title=""SNOBOL"">SNOBOL</a><sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2"">[2]</a></sup><sup class=""reference"" id=""cite_ref-3""><a href=""#cite_note-3"">[3]</a></sup></td></tr>, <tr><th class=""infobox-header"" colspan=""2"" style=""background-color: #eee;"">Influenced</th></tr>, <tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Tcl"" title=""Tcl"">Tcl</a>, <a href=""/wiki/AMPL"" title=""AMPL"">AMPL</a>, <a href=""/wiki/Perl"" title=""Perl"">Perl</a>, <a class=""mw-redirect"" href=""/wiki/Korn_Shell"" title=""Korn Shell"">Korn Shell</a> (<i>ksh93</i>, <i>dtksh</i>, <i>tksh</i>), <a href=""/wiki/Lua_(programming_language)"" title=""Lua (programming language)"">Lua</a></td></tr>]"	"[<tr><td class=""infobox-full-data"" colspan=""2""><a href=""/wiki/Tcl"" title=""Tcl"">Tcl</a>, <a href=""/wiki/AMPL"" title=""AMPL"">AMPL</a>, <a href=""/wiki/Perl"" title=""Perl"">Perl</a>, <a class=""mw-redirect"" href=""/wiki/Korn_Shell"" title=""Korn Shell"">Korn Shell</a> (<i>ksh93</i>, <i>dtksh</i>, <i>tksh</i>), <a href=""/wiki/Lua_(programming_language)"" title=""Lua (programming language)"">Lua</a></td></tr>]"
